confidence,model_name,condition,n,r2,intercept_coef,intercept_p,ctx_len_tokens_coef,ctx_len_tokens_p,ctx_entity_count_coef,ctx_entity_count_p
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,1500,0.007104003889103816,0.8807207401910999,2.714200126758544e-264,-0.0011985883978625075,0.0016169336268206489,0.0019374785752748996,0.3684302246043488
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,1500,0.0015522997730502697,0.836402778859159,6.600739922133449e-72,-0.00046849364224755126,0.2842222649814836,0.004381784986586385,0.17300493712341058
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,1500,0.00042850669512228823,0.666043066115329,8.009614913178003e-50,-0.0006993440293712225,0.4874098334513298,-0.00011045595679377157,0.9744822502202063
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,1500,0.003992382221237212,0.8800026550150973,8.939664717986838e-227,-0.0008965899685606646,0.01871224078948477,0.003881384608256095,0.030988473722407612
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,1500,0.006021122919327215,0.2836531008386579,1.2887692735931188e-21,-0.0006577761289007409,0.10441976941100126,0.0064700486349659105,0.004267300108704694
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,1500,0.003303129345279765,0.9404837781483457,0.0,-0.00019023916093104242,0.4063974992776287,0.0031457739953733247,0.012791575123005586
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,1500,0.014401938578250006,0.6162198397359604,5.529553703902777e-141,0.0017966860249087984,0.0008047891178927266,0.002364529158664031,0.17244892011131085
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,1500,0.00034014597160592075,0.9181276805467353,0.0,-8.057365350843681e-05,0.6866057463857911,0.0007705019906399079,0.49207319567341623
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,1500,9.726982239433024e-05,0.8319124434664846,0.0,-2.9508360241981437e-05,0.6874104544128876,0.0001408006157654526,0.7554169808184544
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,1500,0.020930384024930193,0.9861468220367507,0.0,-0.0003165102243306515,7.348021387865699e-06,0.0025864126417778277,1.5809677478984442e-05
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,1500,0.0032629413321967338,0.8103045799292163,0.0,0.00032621478926449216,0.3778341837468929,0.0016243133793155573,0.18635946028301908
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,1500,0.0007914292404875845,0.9521641952454667,0.0,0.0001041318736375819,0.38607997266362426,-0.00019501732766375796,0.7744453567605981
