closed_status,model_name,condition,acc,conf,delta_acc,delta_conf,FG,n_questions,confidence
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.9416666666666667,0.7476814942256411,0.0,0.0,0.0,144,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.2111111111111111,0.11436155188510898,-0.7305555555555556,-0.6333199423405321,0.09723561321502346,144,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.04027777777777777,0.8984204197086201,-0.901388888888889,0.15073892548297899,1.0521278143718678,144,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.8180555555555555,0.8948443675369592,-0.12361111111111112,0.14716287331131817,0.2707739844224293,144,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.008702064896755162,0.44274447288538554,0.0,0.0,0.0,1356,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0005899705014749262,0.038503962078254364,-0.008112094395280236,-0.4042405108071312,-0.3961284164118509,1356,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.0007374631268436578,0.9559046203162799,-0.007964601769911504,0.5131601474308944,0.521124749200806,1356,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6712389380530974,0.8595428162248926,0.6625368731563421,0.416798343339507,-0.2457385298168352,1356,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.9416666666666667,0.8956805555555556,0.0,0.0,0.0,144,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.2111111111111111,0.15902777777777777,-0.7305555555555556,-0.7366527777777778,-0.006097222222222204,144,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.04027777777777777,0.9334027777777778,-0.901388888888889,0.037722222222222226,0.9391111111111111,144,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.8180555555555555,0.9284027777777778,-0.12361111111111112,0.032722222222222236,0.15633333333333332,144,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.008702064896755162,0.7848938053097345,0.0,0.0,0.0,1356,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0005899705014749262,0.07938053097345132,-0.008112094395280236,-0.7055132743362831,-0.6974011799410029,1356,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.0007374631268436578,0.9587463126843657,-0.007964601769911504,0.17385250737463126,0.18181710914454277,1356,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6712389380530974,0.8709513274336284,0.6625368731563421,0.08605752212389382,-0.5764793510324484,1356,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.9416666666666667,0.9027961093353645,0.0,0.0,0.0,144,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.2111111111111111,0.861978489655835,-0.7305555555555556,-0.04081761967952949,0.689737935876026,144,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.04027777777777777,0.975721099272692,-0.901388888888889,0.07292498993732767,0.9743138788262166,144,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.8180555555555555,0.9643850883175271,-0.12361111111111112,0.061588978982162805,0.1852000900932739,144,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.008702064896755162,0.5965303863127506,0.0,0.0,0.0,1356,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0005899705014749262,0.8548917841734505,-0.008112094395280236,0.25836139786070006,0.26647349225598027,1356,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.0007374631268436578,0.984272373313021,-0.007964601769911504,0.3877419870002705,0.395706588770182,1356,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6712389380530974,0.9655380246276354,0.6625368731563421,0.369007638314885,-0.29352923484145715,1356,conf_seqlik
