confidence,subgroup,n_questions,estimator,evidence_conditions,sigma2_P,sigma2_E,sigma2_PE,sigma2_eps,rho_P,rho_E,rho_PE,rho_eps,mixedlm_converged
conf_ptrue,closed_known,144,REML MixedLM,"['sup', 'mis', 'irr']",0.4513161770973,45.00231875785075,24.62458812517894,0.8721453048147031,0.0063610124583976975,0.6342788599260817,0.3470677981334703,0.01229232948205032,True
conf_ptrue,closed_unknown,1356,REML MixedLM,"['sup', 'mis', 'irr']",0.3354136047307344,56.03621985102893,17.166547404913658,0.8623292456313459,0.0045082164658748975,0.7531698340638184,0.23073158208708267,0.011590367383224064,True
conf_ptrue,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",0.479989200415692,48.84302699412745,23.488810247840433,0.8220257593191956,0.006518594180036561,0.663322989816333,0.3189947224749062,0.011163693528724367,True
conf_ptrue,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",0.27960940576273846,56.374855869053135,16.641628973520408,0.8731195998742368,0.003769884986713858,0.7600843118605238,0.22437380835096876,0.011771994801793391,True
conf_verbalized,closed_known,144,REML MixedLM,"['sup', 'mis', 'irr']",0.5107864356141629,36.63371127666229,24.596689157782727,1.1297548107006588,0.008124364324106775,0.5826811289494837,0.3912250795077555,0.017969427218654074,True
conf_verbalized,closed_unknown,1356,REML MixedLM,"['sup', 'mis', 'irr']",0.5694660443385429,45.070408958681405,17.06783582592383,1.842931639067068,0.008822004283237789,0.6982178214727576,0.26441000698609746,0.028550167257907055,True
conf_verbalized,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",0.6031937848530798,40.77298376182613,20.815641393871818,1.7188285104631134,0.009438079708321095,0.6379685606076447,0.32569911625173986,0.026894243432294296,True
conf_verbalized,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",0.5501097852522315,45.00580176509732,17.19585606527751,1.7877223105089244,0.008523615322677945,0.6973374257622033,0.26643929298105373,0.027699665934065063,True
conf_seqlik,closed_known,144,REML MixedLM,"['sup', 'mis', 'irr']",1.0704598757934272,3.953982228433311,5.227967373403298,0.07699856697520843,0.10363225764447344,0.3827888501798865,0.5061245863100274,0.007454305865612754,True
conf_seqlik,closed_unknown,1356,REML MixedLM,"['sup', 'mis', 'irr']",0.9589019362407863,5.641241737215748,4.936350796213263,0.08256679188400556,0.08252834843152841,0.48551613682268785,0.4248493647715849,0.007106149974198863,True
conf_seqlik,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",1.0509041818331575,4.652557969246158,5.002145278663874,0.08371460172592113,0.09740224443834335,0.4312187508794424,0.46361998131802584,0.007759023364188367,True
conf_seqlik,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",0.9336085161513021,5.668239658531135,4.967564177261719,0.08163112457536442,0.08013089282799551,0.48650060142290275,0.4263621698153395,0.007006335933762202,True
