model_name,condition,acc,conf,abstain_rate,delta_acc,delta_conf,FG,n_questions,confidence
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09986666666666667,0.4720184269340501,0.0028,0.0,0.0,0.0,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0236,0.045786290699712406,0.005466666666666667,-0.07626666666666668,-0.4262321362343377,-0.34996546956767105,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.013333333333333334,0.9503861370579446,0.01813333333333333,-0.08653333333333334,0.47836771012389456,0.5649010434572279,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.1452,0.4045354616559981,0.0068000000000000005,0.04533333333333334,-0.067482965278052,-0.11281629861138534,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.7016000000000001,0.8629317651508509,0.0005333333333333334,0.6017333333333333,0.39091333821680085,-0.2108199951165325,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09986666666666667,0.7955293333333332,0.0028,0.0,0.0,0.0,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0236,0.08702666666666665,0.005466666666666667,-0.07626666666666668,-0.7085026666666666,-0.6322359999999999,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.013333333333333334,0.9563133333333333,0.01813333333333333,-0.08653333333333334,0.160784,0.24731733333333333,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.1452,0.5874866666666667,0.0068000000000000005,0.04533333333333334,-0.20804266666666665,-0.253376,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.7016000000000001,0.8764666666666667,0.0005333333333333334,0.6017333333333333,0.08093733333333335,-0.5207959999999999,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09986666666666667,0.6259318957229214,0.0028,0.0,0.0,0.0,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0236,0.8555721078997595,0.005466666666666667,-0.07626666666666668,0.229640212176838,0.30590687884350465,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.013333333333333334,0.9834514510051494,0.01813333333333333,-0.08653333333333334,0.35751955528222795,0.44405288861556136,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.1452,0.8435369262831864,0.0068000000000000005,0.04533333333333334,0.21760503056026498,0.17227169722693164,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.7016000000000001,0.965427342741865,0.0005333333333333334,0.6017333333333333,0.33949544701894363,-0.26223788631438966,1500,conf_seqlik
